csf_identifiers_pval
Q9NYQ8
Q9NT99
P62258
P43121
Q14574
A0A075B6K5
Q9UBP4
P00441
P05067
A0A075B6S5
P51693
O95196
P55283
Q9UQM7
P55287
P01857
P00739
A0A087WSY4
P07333
Q12907
O75882
P35858
P13591
P19827
Q2TAL6
Q9BX67
P01861
B7Z1Z5
P22304
A0A0C4DH24
P11362
P04066
P10451
Q9UBG0
P29966
Q15782
Q92876
A0A075B6I0
Q9BQT9
P42857
P02741
P19823
A0A0C4DH73;P01611
P01127
P29622
O43493
C9JE82
Q06481
P01701
P99999
Q9NZK5
P07357
P23471
P03950
Q8NBS9
P02753
P61916
Q08345
Q96IY4
A0A087WYL5
Q06418
Q6UW01
O43173
A0A0G2JRQ6
Q9HCU0
O75326
P02790
P45877
P04080
Q53EL9
P19021
Q14118
Q9H299
Q9P0K1
P02747
Q13449
Q13228
O94985
Q14697
Q9Y4C0
O15335
P04216
P05060
P08697
P04004
A0A0B4J1V6
Q96ID5
A0A087X0M8
Q96GW7
P07339
P51888
Q92743
Q13740
P01019
P61981
P80108
P23468
Q53RD9
P54764
O14791
Q96B86
A0A0G2JSC0
Q9NY97
P15144
O43529
P02647
P02461
Q14982
Q9NZ53
P01602
Q14393
P06681
P01709
P54756
P07858
A0A0C4DH31
A0A075B6S2
O00391
Q5VU97
P55058
P37837
Q04756
Q9BY67
P09603
Q86UX2
O75368
P24592
Q92485
Q9Y6R7
P02654
P22792
P54289
O60279
P01024
A0A0J9YY99
P11142
A0A075B6K0
P01880
A0A075B6J9
P09382
Q86UN2
P06312
Q15848
Q9NRN5
P01619
Q9UNW1
Q9NX62
Q06033
O00299
A0A075B6K4
P15291
A0A0B4J1V2
P04156
P07358
Q92520
A0A0B4J1U7
E7EUF1
P26038
P32004
Q12860
Q9HCU4
P05452
P08123
Q86X29
P00450
Q9BYH1
Q6ZSJ9
Q8WVQ1
P09211
O94919
P01717
A0A0B4J1Y8
P06702
P20472
Q9P2S2
P01033
P14314
P01824
A0A0R4J2G7;A0A1D5RMU6;E7ERL8
Q96KN2
A6NGN9
A0A075B6I9
P15169
P05109
Q13508
P30101
Q9ULF5
Q8IWV2
P06733
P05546
P04075
P20933
Q9Y646
Q14520
P09104
Q9UQ52
P23515
Q9UM22
Q13332
A0A0A0MS15
Q07954
Q5SPY9
P04433
O60242
Q8IWU5
P22748
P12955
P04070
Q9P0K9
P48058
O43291
P01859
B9A064
P25311
A0A075B6H7
P05156
P30740
Q7Z3B1
P01344
P04196
A0A0D9SF30
Q92823
P19320
P23470
A0A0C4DH25
Q86UD1
P61769
P54802
Q96S96
Q8IW52
P26572
P01009
